100
                   1             6.01033                   0
                   2             5.25373            0.756598
                   3             5.35789            0.449069
                   4             5.29209            0.324287
                   5             5.25883            0.253383
                   6             5.49348            0.312829
                   7             5.59948            0.284846
                   8             5.62147            0.247662
                   9             5.48628            0.256868
                  10             5.42248            0.238444
                  11             5.30875            0.243829
                  12             5.29679            0.222905
                  13             5.27181            0.206559
                  14             5.27711             0.19131
                  15             5.23376            0.183298
                  16             5.17736            0.180498
                  17             5.17316            0.169601
                  18             5.20152            0.162396
                  19             5.17556            0.155791
                  20             5.15755            0.148888
                  21             5.20468            0.149255
                  22             5.23543            0.145594
                  23             5.24452            0.139416
                  24              5.2125            0.137266
                  25             5.24577            0.135798
                  26             5.25023            0.130547
                  27             5.24519             0.12572
                  28             5.26114            0.122193
                  29             5.22312            0.123884
                  30             5.24559            0.121775
                  31             5.21829            0.120903
                  32              5.2395            0.118969
                  33             5.24423            0.115405
                  34             5.22633             0.11338
                  35             5.26875            0.117983
                  36             5.26686            0.114674
                  37             5.27443            0.111788
                  38              5.3059            0.113265
                  39             5.32367            0.111746
                  40             5.30935            0.109854
                  41             5.35057            0.114796
                  42             5.36704            0.113233
                  43             5.37706            0.111022
                  44             5.36814            0.108837
                  45             5.36496            0.106438
                  46             5.35469            0.104603
                  47             5.37164            0.103748
                  48             5.39026            0.103256
                  49             5.39906            0.101509
                  50             5.38965           0.0999025
                  51             5.40488           0.0991023
                  52             5.42624           0.0994968
                  53             5.43743           0.0982413
                  54             5.43381           0.0964728
                  55             5.42897           0.0948261
                  56             5.45008           0.0954801
                  57             5.46787           0.0954624
                  58             5.45645           0.0944949
                  59             5.49207           0.0994765
                  60             5.46697            0.100975
                  61             5.46145           0.0994592
                  62             5.49175            0.102427
                  63             5.48158            0.101299
                  64             5.48381           0.0997287
                  65             5.47138            0.098966
                  66             5.45454           0.0988997
                  67             5.47058           0.0987253
                  68             5.47151            0.097267
                  69             5.46005           0.0965299
                  70             5.45041           0.0956281
                  71             5.45309           0.0943098
                  72             5.43537           0.0946631
                  73             5.45027           0.0945385
